RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+1.00000000000000e-01 +2.46374233798333e+25 +1.58166786176598e+25 +1.58166786176598e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.47376620423992e+25 +1.91023761851074e+25 +8.16732727147188e-01 +1.55768628644479e+00 +5.44488484764792e-01 
+1.02337179863252e-01 +2.44511905894885e+25 +1.55634475717059e+25 +1.59271933343796e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.47699537935921e+25 +1.89993316481870e+25 +8.25456351681069e-01 +1.57106518185215e+00 +5.50304234454046e-01 
+1.04728983823636e-01 +2.42662456681754e+25 +1.53140598485364e+25 +1.60382592615156e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.48032310694114e+25 +1.88969966893678e+25 +8.34295511649357e-01 +1.58457299424062e+00 +5.56197007766238e-01 
+1.07176688544550e-01 +2.40825995835895e+25 +1.50684547750817e+25 +1.61498708427658e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.48374953476242e+25 +1.87953468510174e+25 +8.43251213882208e-01 +1.59821295169656e+00 +5.62167475921472e-01 
+1.09681600527314e-01 +2.39002624884419e+25 +1.48265730441545e+25 +1.62620226181799e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.48727475835054e+25 +1.86943583091166e+25 +8.52324462750510e-01 +1.61198831431008e+00 +5.68216308500340e-01 
+1.12245056808531e-01 +2.37183758202779e+25 +1.45883279469189e+25 +1.63746769914339e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.49088452435230e+25 +1.85939717333441e+25 +8.61513885092379e-01 +1.62584608096141e+00 +5.74342590061586e-01 
+1.14868425673755e-01 +2.35386980103247e+25 +1.43537210208963e+25 +1.64878933623065e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.49460763734469e+25 +1.84942374329265e+25 +8.70825244061560e-01 +1.63990215332016e+00 +5.80550162707707e-01 
+1.17553107387837e-01 +2.33603546080291e+25 +1.41226670909427e+25 +1.66016340114426e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.49842951544167e+25 +1.83950965646675e+25 +8.80257146570102e-01 +1.65410360929706e+00 +5.86838097713401e-01 
+1.20300534942332e-01 +2.31833525638024e+25 +1.38951117505554e+25 +1.67158937667530e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.50235004497393e+25 +1.82965277022865e+25 +8.89810585728406e-01 +1.66845384045766e+00 +5.93207057152271e-01 
+1.23112174820389e-01 +2.30076980503935e+25 +1.36710017070614e+25 +1.68306675212958e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.50636906028215e+25 +1.81985100285415e+25 +8.99486551455509e-01 +1.68295627075443e+00 +5.99657700970339e-01 
+1.25989527779503e-01 +2.28333964747523e+25 +1.34502847492002e+25 +1.69459502405158e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.51048634412948e+25 +1.81010233584108e+25 +9.09286030439896e-01 +1.69761435542173e+00 +6.06190686959931e-01 
+1.28934129652572e-01 +2.26604524906635e+25 +1.32329097207019e+25 +1.70617369760975e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.51470162832800e+25 +1.80040481718039e+25 +9.19210006218222e-01 +1.71243157921746e+00 +6.12806670812148e-01 
+1.31947552167671e-01 +2.24888700118403e+25 +1.30188264988819e+25 +1.71780228862308e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.51901459462458e+25 +1.79075656550890e+25 +9.29259459413627e-01 +1.72741145400253e+00 +6.19506306275751e-01 
+1.35031403786987e-01 +2.23186522252693e+25 +1.28079859779389e+25 +1.72948032628514e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.52342487588179e+25 +1.78115577504963e+25 +9.39435368165258e-01 +1.74255751557755e+00 +6.26290245443505e-01 
+1.38187330565363e-01 +2.21479529657938e+25 +1.26003185367743e+25 +1.74120438287010e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.52788486914312e+25 +1.77159705058852e+25 +9.49735982274046e-01 +1.75772960827574e+00 +6.33157321516030e-01 
+1.41417017028902e-01 +2.19805011196718e+25 +1.23958208142443e+25 +1.75298000317522e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.53248923330635e+25 +1.76208618312783e+25 +9.60167752109362e-01 +1.77321868789951e+00 +6.40111834739575e-01 
+1.44722187074113e-01 +2.18144188764678e+25 +1.21944244363622e+25 +1.76480377454036e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.53718952445565e+25 +1.75261786884907e+25 +9.70728904708091e-01 +1.78888466530819e+00 +6.47152603138727e-01 
+1.48104604888068e-01 +2.16497066502493e+25 +1.19960842622077e+25 +1.77667531985823e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.54198519878406e+25 +1.74319066443076e+25 +9.81420417470329e-01 +1.80473112534348e+00 +6.54280278313553e-01 
